movieInfo,intro,url,title,star,quote
导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...;2013 / 韩国 / 剧情;;,,https://movie.douban.com/subject/21937445/,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),9,电影的现实意义大过电影本身。
导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...;1989 / 美国 / 剧情;;,,https://movie.douban.com/subject/1291548/,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...;2005 / 美国英国德国 / 剧情动作科幻惊悚;;,,https://movie.douban.com/subject/1309046/,V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),8,一张面具背后的理想与革命。
导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...;2009 / 美国 / 纪录片;;,,https://movie.douban.com/subject/3442220/,海豚湾 / The Cove / 血色海湾(台)  /  海湾,9,海豚的微笑，是世界上最高明的伪装。
导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...;2004 / 日本 / 动画奇幻冒险;;,,https://movie.douban.com/subject/1308807/,哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,8,带着心爱的人在天空飞翔。
导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...;1992 / 美国 / 剧情;;,,https://movie.douban.com/subject/1298624/,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,8,史上最美的探戈。
导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...;1957 / 美国 / 剧情犯罪悬疑;;,"
                                　　伦敦著名刑案辩护律师韦菲爵士（查尔斯•劳顿 Charles Laughton 饰）接受了心脏病治疗，但是身体依旧虚弱，第一天回家休养，护士一直严厉监督他服药，并杜绝烟酒。管家为了便于上楼，还专门为他修了电梯。但是，种种关心照顾，对于这位桀骜不驯、牙尖嘴利的大律师根本不起作用，反倒是一纸诉状令他倍感兴奋。律师梅休和当事人沃尔（泰隆•鲍华 Tyrone Power饰）登门拜访，请他出山打官司。原来，沃尔结识了富婆，两人相见甚欢，虽然仆人对他发明的打蛋器充满鄙夷，但是富婆却对他充满爱意，甚至为他修改了遗嘱，把8万英镑留给了他。然而，富婆却惨遭毒手。于是，沃尔成为警方的头号嫌疑犯。他的唯一证人是妻子克里斯汀（玛琳•黛德丽 Marlene Dietrich饰），然而后者登门时的冷漠与淡定，令韦菲爵士怀疑这其中另有隐情。在扑朔迷离的案件背后，隐藏着一个个环环相扣、不可告人的秘密……
                                    ",https://movie.douban.com/subject/1296141/,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,9,比利·怀德满分作品。
导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...;1975 / 美国 / 剧情;;,,https://movie.douban.com/subject/1292224/,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,9,自由万岁。
导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran;1998 / 英国 / 剧情喜剧犯罪;;,,https://movie.douban.com/subject/1293350/,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",9,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...;2006 / 德国 / 剧情悬疑;;,,https://movie.douban.com/subject/1900841/,窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,9,别样人生。
导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...;2009 / 美国 / 剧情喜剧动画冒险;;,"
                                　　小男孩卡尔（Carl Fredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。
                                    ",https://movie.douban.com/subject/2129039/,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),8,最后那些最无聊的事情，才是最值得怀念的。 
导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...;2016 / 美国 / 喜剧动画冒险;;,,https://movie.douban.com/subject/25662329/,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),9,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...;1995 / 香港中国大陆 / 喜剧爱情奇幻冒险;;,,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,8,旷古烁今。
导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...;1986 / 日本 / 动画奇幻冒险;;,,https://movie.douban.com/subject/1291583/,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,9,对天空的追逐，永不停止。 
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...;2008 / 日本 / 剧情;;,,https://movie.douban.com/subject/2149806/,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...;1991 / 美国 / 剧情犯罪惊悚;;,,https://movie.douban.com/subject/1293544/,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,8,安东尼·霍普金斯的顶级表演。
