,name,sallary,duty,location,time
24969,上海微创软件股份有限公司,0.9-1.1万/月,Linux运维工程师/云平台（昆明）,昆明,12-29
24970,上海微创软件股份有限公司,0.9-1.1万/月,Linux运维工程师/云平台（乌镇）,嘉兴,12-29
24971,上海微创软件股份有限公司,,广告后端开发工程师（Python/Node.js）,上海,12-29
24972,上海微创软件股份有限公司,1-1.5万/月,前端开发工程师,上海-徐汇区,12-29
24973,北京启明星辰信息安全技术有限公司,1-2万/月,源代码审计工程师,北京-海淀区,01-02
24974,北京启明星辰信息安全技术有限公司,0.8-1.2万/月,渗透测试工程师,福州,01-02
24975,北京启明星辰信息安全技术有限公司,0.6-1.2万/月,渗透测试工程师,上海-徐汇区,01-02
24976,北京启明星辰信息安全技术有限公司,4-6千/月,渗透测试工程师,海口,01-02
24977,北京启明星辰信息安全技术有限公司,1.5-2万/月,高级渗透测试工程师,北京-海淀区,01-02
24978,北京启明星辰信息安全技术有限公司,1-1.5万/月,安全服务项目经理,北京-海淀区,01-02
24979,天津市友好互联科技有限公司,100元/天,网络实习生,天津-西青区,01-03
24980,首誉控股集团（深圳）有限公司,6-8千/月,网站建设维护工程师,深圳-龙华新区,01-03
24981,上海银基信息安全技术有限公司,1-2万/月,Web全栈开发工程师,上海-徐汇区,01-03
24982,成都睿讯商务咨询有限公司,1-1.5万/月,Web前端开发工程师 (清华四川研究院),成都,01-03
24983,成都睿讯商务咨询有限公司,1-1.5万/月,Web后端工程师（车联网研究所）,成都,01-03
24984,西安敦行信息技术有限公司,4.5-6千/月,建筑类转软件后端Java工程师,西安,12-31
24985,西安敦行信息技术有限公司,4.5-6千/月,Java企业级Web软件开发,西安,12-31
24986,西安敦行信息技术有限公司,4.5-6千/月,Java软件工程师,西安,12-31
24987,西安敦行信息技术有限公司,4.5-6千/月,研发储备-管理学习生,西安,12-31
24988,西安敦行信息技术有限公司,4.5-6千/月,Java实习,西安,12-31
24989,西安敦行信息技术有限公司,6-8千/月,土木工程/结构工程/工程监理转行软件,西安,12-31
24990,上海班凯信息技术服务有限公司,1.1-1.6万/月,前端开发工程师_HY,杭州,12-31
24991,玛玛洛可少儿英语广州荔湾中心,0.4-1万/月,高薪急聘少儿英语招生顾问/课程顾问/行政/销售代表,广州-荔湾区,12-31
24992,上海威派格智慧水务股份有限公司宁...,4.5-6.5千/月,区域销售代表（大型项目工程类）,异地招聘,12-31
24993,宜信公司,1-1.5万/月,运维工程师(10010270),北京-朝阳区,12-30
24994,宜信公司,1-1.5万/月,运维工程师(10010267),北京-朝阳区,12-30
24995,普信恒业科技发展（北京）有限公司,2.5-3万/月,高级数据仓库开发工程师(10010776),北京,12-30
24996,普信恒业科技发展（北京）有限公司,4-5万/月,高级数据仓库开发架构师(10010778),北京,12-30
24997,宜信公司,2-2.5万/月,高级数据仓库工程师-宜信,北京,12-30
24998,上海微创软件股份有限公司,4-6千/月,ISV Chat Azure开发支持工程师,无锡,12-29
24999,上海微创软件股份有限公司,1-1.3万/月,前端开发工程师,北京,12-29
25000,上海微创软件股份有限公司,4-6千/月,ISV Chat Azure开发支持工程师,无锡-无锡新区,12-29
25001,科大智能科技股份有限公司,10-18万/年,软件开发（高级）工程师_iOS 和安卓手机移动端,上海-杨浦区,12-29
25002,科大智能科技股份有限公司,20-35万/年,软件开发（高级）工程师_云端开发,上海-杨浦区,12-29
25003,科大智能科技股份有限公司,12-25万/年,软件开发工程师,上海-杨浦区,12-29
25004,科大智能科技股份有限公司,30-50万/年,软件开发架构师,上海,12-29
25005,北京启明星辰信息安全技术有限公司,1.2-2万/月,安全研究工程师,北京-海淀区,01-02
25006,北京启明星辰信息安全技术有限公司,1-1.5万/月,安全服务工程师,北京-海淀区,01-02
25007,惠州市天浩时代科技有限公司,3-4.5千/月,急招 网业制作,惠州,01-02
25008,广东信禾教育科技有限公司,0.6-1.2万/月,运维工程师,广州-黄埔区,01-02
25009,广东信禾教育科技有限公司,1.5-2.5万/月,Java高级开发工程师,广州-黄埔区,01-02
25010,鲸运科技物流（深圳）有限公司,1-1.5万/月,Web前端高级开发工程师,深圳-南山区,01-02
25011,什马互联网金融信息服务（上海）有...,2.5-3万/月,资深前端开发工程师,上海-长宁区,01-02
25012,上海婴宝文化传播有限公司,0.8-1万/月,WEB前端设计开发,上海-普陀区,01-02
25013,上海婴宝文化传播有限公司,0.8-1万/月,网页设计师,上海-普陀区,01-02
25014,中增（杭州）资产管理有限公司,1-2万/月,HTML5开发工程师,杭州-拱墅区,01-03
25015,广东用心网络科技有限公司,4-7千/月,前端开发工程师（工作地：顺德容桂）,异地招聘,01-03
25016,广东用心网络科技有限公司,4-7千/月,软件测试工程师（工作地：顺德容桂）,异地招聘,01-03
25017,广东用心网络科技有限公司,4-7千/月,软件测试工程师（工作地：顺德容桂）,佛山-顺德区,01-03
25018,上海韵达货运有限公司,0.6-1万/月,IT运维专员,上海-青浦区,01-03
25019,上海威派格智慧水务股份有限公司宁...,4.5-6.5千/月,区域销售代表（供水行业领导品牌）,宁波,12-31
25020,上海威派格智慧水务股份有限公司宁...,7-30万/年,大客户销售经理（二供行业诚聘业务精英）,宁波,12-31
25021,烟台木山网络科技有限公司,1.5-2万/月,Linux运维工程师 (工作地點：菲律宾),异地招聘,12-31
25022,烟台木山网络科技有限公司,1.5-2万/月,Linux运维工程师 (工作地點：菲律宾),国外,12-31
25023,深圳市奋达职业技术学校,0.5-1万/月,数学老师 （石岩 提供吃住）,深圳-宝安区,12-31
25024,南京睿斯博信息科技有限公司,4.5-6千/月,UI设计助理/网页设计助理,南京-雨花台区,12-30
25025,南京睿斯博信息科技有限公司,4.5-6千/月,UI设计师,南京-雨花台区,12-30
25026,上海医普拉斯网络科技有限公司,0.8-1.5万/月,软件测试工程师,上海-徐汇区,12-30
25027,今日头条,3-4万/月,数据仓库与数据分析高级工程师,北京-海淀区,12-30
25028,今日头条,3-4万/月,高级运维研发工程师,北京-海淀区,12-30
25029,今日头条,3-4万/月,后端开发高级工程师,北京-海淀区,12-30
25030,上海艾杰飞人力资源有限公司,0.7-1.5万/月,系统支持工程师 - (编号87465)日语必须,广州,12-29
25031,上海艾杰飞人力资源有限公司,1-1.3万/月,WEB开发构架师 (编号88481)日语必须,上海,12-29
25032,中国金融认证中心（CFCA）,0.8-1.5万/月,信息安全工程师(ADSS及入网测评组),上海-浦东新区,12-29
25033,明源软件,1.8-3.5万/月,数据架构师（大数据方向）,深圳,12-29
25034,明源软件,1.8-3.5万/月,架构师（大数据方向）,深圳,12-29
25035,链融数据科技（大连）有限公司,1-1.5万/月,Java开发工程师,大连-高新园区,01-02
25036,浙江新盛蓝科技有限公司,1-1.5万/月,Linux系统管理员(运维),杭州-江干区,01-02
25037,南京乐居网络科技有限公司,1.5-2.5万/月,技术总监,南京-江宁区,01-02
25038,成都嘉谊互娱科技有限公司,0.6-1万/月,服务端程序,成都,01-02
25039,景智网络科技股份有限公司,1-1.5万/月,产品经理,郑州-管城回族区,01-02
25040,杭州茂葳科技有限公司,0.5-1.5万/月,后端程序员,杭州,01-02
25041,中兴通讯股份有限公司,1-1.5万/月,前端开发工程师-MES,长沙,01-02
