location,time,sallary,name,duty 
武汉-洪山区,03-09,15-30万/月,湖北长江出版传媒集团全洲实业有限...,工程总监
上海,03-09,10-20万/月,上海永乐街企业发展有限公司,人事经理
上海,03-09,100万以上/年,上海佰万仓网络科技有限公司,技术总监
深圳-光明新区,03-09,7-10万/月,深圳市合利来科技有限公司,生产经理
青岛-城阳区,03-09,10万以上/月,青岛华顺昌木工机械制造有限公司,外贸销售
苏州,03-09,4000元/天,苏州三值精密仪器有限公司,招标专员
重庆-江北区,03-09,7-10万/月,重庆市建之森企业管理咨询有限公司,二级房建建造师
上海,03-09,100万以上/年,德马吉国际展览有限公司,销售副总裁（百万年薪）
上海-松江区,03-09,10-15万/月,上海溯慕网络科技有限公司,财务经理
杭州-萧山区,03-09,100万以上/年,遁一资产管理有限公司,金融市场部业务总监（资金方向）
厦门,03-09,5-7万/月,上海安吉星信息服务有限公司厦门分...,电销专员（试用期6险1金）
深圳-龙华新区,03-09,2130元/小时,卓科特实业（深圳）有限公司,质检部文员
广州,03-09,60-80万/年,广州市重逢服饰有限公司,YOURAN设计总监
上海,03-09,350元/小时,上海雅力信息科技有限公司,A Level 物理/化学/数学老师（Part-time）
惠州,03-09,4800元/天,惠州市富丽电子有限公司,储备干部 /生产储备干部 /实习储备干部
惠州,03-09,7-10万/月,惠州市我爱我家房地产服务有限公司,房产销售
榆林,03-09,7-10万/月,榆林市榆阳区大漠军旅文化园管理有...,总经理
异地招聘,03-09,60-80万/年,杭州瑞诺企业管理咨询有限公司,Sales/Business Development Manager
武汉-蔡甸区,03-09,5-7万/月,武汉新农牛肉卤制品有限公司,销售副总
北京-东城区,03-09,5-7万/月,盛世国祥资本管理集团有限公司,电销专员/电销代表/电话销售（双休+高提成）
成都-青羊区,03-09,100万以上/年,四川思肯投资有限公司,百万年薪 房产投资收购副总（公司合伙人）
天津,03-09,5-7万/月,万得信息技术股份有限公司（Wind资...,销售代表
东莞-长安镇,03-09,5000元/小时,东莞市锦康光电有限公司,组装技术员
深圳-宝安区,03-09,3800元/小时,深圳市裕临电子有限公司,仓管
深圳,03-09,10-20万/月,深圳市维新教育科技有限公司,工艺工程师 (光伏后道)
杭州-西湖区,03-09,100-300万/年,宽华投资集团有限公司,投行部副总经理
广州-天河区,03-09,7-10万/月,广州金博士互联网信息服务有限公司,直播间讲师（期货营业部）
上海-闵行区,03-09,60-80万/年,广汽菲亚特克莱斯勒汽车销售有限公司,产品规划高级经理（进口车）
苏州-工业园区,03-09,5-7万/月,苏州科盛股权投资管理股份有限公司,财务总监
深圳-龙华新区,03-09,4000元/天,深圳市瑞福联科电子有限公司,SMT物料员
珠海,03-09,80-100万/年,深圳泛华联合投资集团有限公司珠海...,高级财富经理(代招）
深圳,03-09,5-8万/月,深圳前海用友力合金融服务有限公司,贷款电话销售（友金普惠）
岳阳,03-09,10万以上/月,岳阳市海纳软件技术有限公司,Java高级开发工程师
西安,03-09,7-10万/月,陕西华创实业有限公司,物业管理经理
深圳-罗湖区,03-09,100万以上/年,深圳乐陶陶国际旅行社有限公司,副总经理（股权投资）
异地招聘,03-09,100万以上/年,绍兴企盟网络设计有限公司,工厂经理
杭州-西湖区,03-12,7-10万/月,杭州星合股权投资有限公司,周末双休高薪金融培训讲师
上海,03-09,350元/小时,上海达卜留文化传播有限公司,SAT阅读老师 全职或***
成都,03-09,5-7万/月,金堂家兴结石病医院,内科医生
广州-番禺区,03-09,5-7万/月,广东中原地产代理有限公司迎宾路分...,物业顾问
广州-越秀区,03-09,5-7万/月,广州裕丰咨询顾问有限公司明月分公司,招聘 星级客户经理 店长 同时招毕业生和实习生
异地招聘,03-09,10-30万/月,宁波世际波斯工具有限公司,驻广东销售总监
武汉-洪山区,03-09,12-16万/月,武汉和信益科技有限公司,项目管理部部长
苏州,03-09,20-30万/月,记忆科技（深圳）有限公司,软件工程师-接口
北京,03-09,5-7万/月,北京市道成律师事务所,提成律师
异地招聘,03-09,10万以上/月,江苏恩华药业股份有限公司,医药销售代表
上海-浦东新区,03-09,5-7万/月,上海连尚网络科技有限公司,DSP广告算法专家
上海-黄浦区,03-09,80-100万/年,上海车赢信息技术有限公司,销售精英（年薪百万）
广州-海珠区,03-09,7-10万/月,广州创必承信息科技有限公司,运营经理
上海-闵行区,03-09,20-30万/月,上海智思信息科技有限公司,高级BI工程师（商业智能与可视化）
宁波-鄞州区,03-09,6-7.5万/月,宁波铭睿时尚创意进出口有限公司,服装外贸单证员
异地招聘,03-09,12-20万/月,宁波海尔施基因科技有限公司,研发工程师
上海-宝山区,03-09,60-80万/年,大华集团商业管理中心,商管中心商业运营副总
上海-浦东新区,03-09,5-7万/月,上海晟凯礼品有限公司,国内客户经理
武汉,03-09,7-10万/月,美好建筑装配科技有限公司,规划设计院院长
上海,03-09,10-50万/月,上海康夷企业管理咨询有限公司,销售经理
广州-番禺区,03-09,15-20万/月,广州艾捷斯医疗器械有限公司,销售经理
珠海,03-09,10万以上/月,德豪润达LED照明事业部,结构工程师
宁德,03-09,60-80万/年,宁德新能源科技有限公司,精益经理（Lean manager）
广州-白云区,03-09,80-100万/年,骆驼服饰,财务副总
上海-徐汇区,03-09,7-10万/月,安徽乐金健康科技股份有限公司,市场经理
宁波,03-09,7-10万/月,宁波博视眼科医院有限公司,眼科医生
成都-高新区,03-09,10-15万/月,和和有限公司,省级销售总经理
上海,03-09,100万以上/年,上海红星美凯龙房地产有限公司,项目营销总监（长三角区域或华北区域）
衢州,03-09,5-10万/月,华盛达控股集团,江山原乡度假村有限公司（江山）-项目前期专员/经理
广州,03-09,10-20万/月,国光电器股份有限公司,市场销售总监
东莞,03-09,7-10万/月,广东银禧科技股份有限公司,动力电池系统结构设计工程师
上海-普陀区,03-09,800-2000万/月,朗诗地产集团资产运营事业部,00370-法务主管/专员
上海-浦东新区,03-09,80-100万/年,上海海和药物研究开发有限公司,临床医师（医学总监）
上海-浦东新区,03-09,10万以上/月,上海嘉盟网络技术有限公司,文案编辑 平米设计 摄影师
深圳-光明新区,03-09,5-7万/月,丁泉科技有限公司,销售代表
杭州,03-09,15-25万/月,东莞市华尊翔瀛企业管理咨询有限公司,服务器软件开发工程师
异地招聘,03-09,10万以上/月,辽宁丰烁人力资源有限公司,日本行政助理
成都-温江区,03-09,80-100万/年,成都连康投资有限公司,产业销售总监
北京-东城区,03-09,10万以上/月,精诚徽药药业股份有限公司,省区经理（北京）
上海-徐汇区,03-09,100-300万/年,上海益学投资咨询有限公司,讲师（百万年薪）
广州-天河区,03-09,5-7万/月,广州阿玛施眼科飞秒激光中心,市场总监
南京,03-09,20-40万/月,绿地集团江苏事业部,绿地会总经理/副总经理
苏州,03-09,5-7万/月,苏州工业园区美年诊所有限公司,CT医生
上海,03-09,10万以上/月,观致汽车有限公司,Big Data Architect
天津,03-09,5-7万/月,恒盛地产控股有限公司,项目公司总经理
上海-虹口区,03-09,8-14万/月,上海铭垚信息科技有限公司,高级数据分析师
深圳-宝安区,03-09,10万以上/月,深圳市东方升餐饮管理服务有限公司,副总经理
云南省,03-09,60-80万/年,云南腾晋物流股份有限公司,物流业务副总经理
杭州-滨江区,03-09,60-80万/年,聚光科技(杭州)股份有限公司,营销管理部总经理（水环境板块）
清远,03-09,10万以上/月,碧桂园营销广清二部,房地产销售
深圳-罗湖区,03-09,400元/小时,深圳市多科特文化传媒有限公司,医学老师/医学博士/医学硕士
武汉-江岸区,03-09,1000元/小时,上海灵兮信息科技有限公司,网络推广专员
异地招聘,03-09,15-35万/月,上海海得控制系统股份有限公司,销售经理/销售工程师（成套设备代加工业务）
南京-建邺区,03-09,10-20万/月,南京龙贞自动化装备技术有限公司,MES售前顾问
常州-新北区,03-09,8-10万/月,常州默思教育信息咨询有限公司,8万-10万高薪聘请初高中化学老师
异地招聘,03-09,12-18万/月,株洲嘉成科技发展有限公司,机械设计工程师
青岛,03-09,7-10万/月,青岛天之久塑料包装有限公司,印刷工
杭州,03-09,5-7万/月,浙江曌通供应链管理有限公司,大车驾驶员
异地招聘,03-09,60-80万/年,无锡盈华置业有限公司,投资拓展经理
上海-黄浦区,03-09,7-10万/月,世登（上海）信息科技有限公司,Senior Sales Manager
成都,03-09,5-8万/月,四川香天下餐饮管理有限公司,运营总经理
佛山,03-09,15-35万/月,广东三维家信息科技有限公司,大客户销售
广州-南沙区,03-09,10万以上/月,广州尚纯净水科技有限公司,销售经理 大区销售经理 销售总监
杭州-拱墅区,03-09,7-12万/月,杭州俪上贸易有限公司,业务跟单-服装
北京-通州区,03-09,7-10万/月,北京格勤世纪教育科技有限公司,营销总经理
北京,03-09,7-10万/月,北京飞亚视科技发展有限公司,海外销售顾问
佛山,03-09,3500元/小时,佛山良辉电子有限公司,仓管员
嘉兴,03-09,5-7万/月,嘉兴广星精密模具有限公司,线切割师博
南通,03-09,5-7万/月,江苏省苏商发展促进会,大客户代表
珠海,03-09,6-10万/月,珠海联邦制药股份有限公司,制药工艺员
深圳-罗湖区,03-09,5-7万/月,深圳圣园文化发展有限公司,销售总监
深圳-光明新区,03-09,5-7万/月,深圳市宏力玻璃有限公司,技工
南昌,03-09,10万以上/月,南昌成功针织制衣有限公司,生产厂长
武汉-洪山区,03-09,7-10万/月,武汉盛世同康医药科技有限公司,营销副总经理
济南,03-09,5-7万/月,济南泽源房地产经纪有限公司,21世纪房产销售
异地招聘,03-09,6-12万/月,成都凯富科技有限公司,APP产品经理/产品助理
四川省,03-09,30-50万/月,爱威科技股份有限公司,区域销售总监（四川）
深圳-福田区,03-09,10-20万/月,深圳顶呱呱企业管理有限公司,互联网资质业务经理
上海,03-09,10万以上/月,上海微特生物技术有限公司,质量经理
上海-静安区,03-09,7-10万/月,上海上外国际教育交流信息中心,人力资源经理
异地招聘,03-09,10万以上/月,上海丫肯化工有限公司,销售中心大区经理
上海-闵行区,03-09,80-100万/年,杭州味全食品有限公司,全国KA总监
广州-天河区,03-09,1000元/小时,广州主角教育科技有限公司,微课老师
深圳-南山区,03-09,7-10万/月,深圳市华尔街资本管理有限公司,房产金融客户经理
南京,03-09,5-7万/月,南京蓝光和骏置业有限公司,项目总监/总经理
上海-黄浦区,03-09,10-25万/月,爱尚岗网络科技（上海）有限公司,产品经理
苏州,03-09,5-7万/月,苏州博优达精密机械有限公司,CNC编程加操机
武汉-武昌区,03-09,60-80万/年,武汉优维康健康管理咨询有限公司,大客户经理
珠海,03-09,15-20万/月,珠海红馆房地产顾问有限公司,销售经理
杭州-余杭区,03-09,7-10万/月,杭州妥妥网络科技有限公司,钢琴、吉他老师（***）
异地招聘,03-09,3000元/天,北京中能瑞泰电气有限公司,销售经理-西安
异地招聘,03-09,10万以上/月,零氪科技（北京）有限公司,招聘主管
广州-天河区,03-09,60-80万/年,奥园,组织发展总监助理/副总监J11275
吉林,03-09,5-7万/月,长春拜博口腔医院有限公司,口腔医生
杭州-余杭区,03-09,7-10万/月,杭州绿城颐居投资管理有限公司,医务科主任
北京-海淀区,03-09,7-10万/月,四开花园网络科技（天津）有限公司...,广告营销总监
深圳,03-09,5-7万/月,招商局蛇口工业区控股股份有限公司,规划设计总监
南京,03-09,60-80万/年,保利江苏房地产发展有限公司,项目总经理
杭州,03-09,25-35万/月,中安金控,汽车金融部副总经理
眉山,03-09,7-10万/月,成都市众鑫农用化工有限责任公司,眉山分公司销售经理
北京-朝阳区,03-09,5-8万/月,北京那么值信息科技有限公司,品类运营经理/总监
上海,03-09,10-20万/月,上海宝腾电子科技有限公司,嵌入式开发工程师
上海,03-09,5-7万/月,上海瀚叶投资控股有限公司,董事会秘书（上市公司）
杭州-西湖区,03-08,10-20万/月,侬享时代网络科技有限公司,Java高级开发工程师
宁波-北仑区,03-08,60-80万/年,宁波市厚朴人力资源服务有限公司,销售总监（汽配，上市公司）
沈阳-新民市,03-08,5-7万/月,沈阳市于洪区奥诚门业加工厂,木工
重庆-渝北区,03-08,7-10万/月,重庆若可网络安全测评技术有限公司,等保测评及信息安全咨询师（西藏）
杭州-滨江区,03-08,5-7万/月,上海袋虎信息技术有限公司杭州分公司,销售总监
深圳,03-08,15-40万/月,深圳市东方聚成科技有限公司,FPGA算法工程师
广州-天河区,03-08,400元/小时,广州市泰美广告有限公司,璀璨婚纱新款网拍模特/新人微胖均可
杭州-萧山区,03-08,7-10万/月,杭州群杰装饰工程有限公司,家装顾问
济南-高新区,03-08,10万以上/月,山东贝利工程咨询有限公司,自动化设计工程师
上海-徐汇区,03-08,7-10万/月,争鲜（上海）食品有限公司,人力资源经理
郑州,03-08,5-7万/月,河南卓远汽车销售有限公司,销售内勤
上海-普陀区,03-08,5-7万/月,上海昱辉能源科技有限公司,财务副总裁
上海-长宁区,03-08,10-20万/月,纳瓦电子（上海）有限公司,汽车电子高级软件工程师
上海-长宁区,03-08,10000元/天,上海力友翻译有限公司,***法语翻译
常州,03-08,6-12万/月,江苏叶迪车灯有限公司,SQE
济南-市中区,03-08,100-500万/年,倍特期货有限公司济南营业部,期货交易员
东莞-麻涌镇,03-08,100-180万/年,新港码头,总经理
青岛-崂山区,03-08,10万以上/月,标尺集团,市场/销售专员
上海,03-08,2500元/天,上海英格尔认证有限公司,环境事业部管培生
上海,03-08,10-12万/月,上海事成软件股份有限公司,财务主管
广州,03-08,5-6万/月,汇桔网,营销总经理
重庆,03-08,100万以上/年,重庆市贞观科技有限公司,副总经理-重庆云鬟科技股份有限公司
杭州-西湖区,03-08,10万以上/月,杭州欧凯膜技术有限公司,普工
上海,03-08,80-100万/年,阿斯麦-中国,Business Unit Manager_Brion Business
长沙,03-08,5-7万/月,湖南海洋胶囊有限公司,国际贸易
珠海,03-08,3000元/天,珠海深妙医疗新技术开发有限公司,***医生
温州,03-08,5-7万/月,温州市鹿城区金宝贝培训有限公司,渠道经理主管
异地招聘,03-08,1000元/小时,弘瑞文化传媒,北京长期招聘模特礼仪
中山,03-08,60-80万/年,中山市华明智能科技有限公司,销售总经理
南京,03-08,10万以上/月,江苏银凤金革资产管理有限公司,市场营销总监
佛山,03-08,5-7万/月,佛山市南海嘉富宝家居用品厂,3D设计师
北京-朝阳区,03-08,20-35万/月,武汉元光科技有限公司,财务总监
上海-闵行区,03-08,7-10万/月,上海琪辕汽车服务有限公司,滴滴网约司机，现车现提
北京,03-08,60-80万/年,北京华尔街英语培训中心有限公司,中心销售副总监/副校长
异地招聘,03-08,80-100万/年,云南则道茶业股份有限公司,营销总监（深圳城市总服务商）
北京-东城区,03-08,15-25万/月,北京聚众互动网络科技有限公司,Android开发工程师
福州-福清市,03-08,15-20万/月,福建三锋控股集团有限公司,滚压亮饰条项目产品工艺
广州-越秀区,03-08,400元/小时,北京世纪曙光文化传播有限公司,高课时费诚聘小初高各科优秀老师
台州,03-08,5-7万/月,三门县台力电机有限公司,数控车工
北京-朝阳区,03-08,4000元/天,北京市麦道百清文化艺术中心,静物摄影师
东莞,03-08,10万以上/月,广东邑安实业有限公司,司机助理手游商务
苏州,03-08,10万以上/月,中南置地苏南城市公司,置业顾问
东莞-寮步镇,03-08,5-7万/月,东莞市同鸿汽车贸易有限公司,4S店销售经理
常州,03-08,80-100万/年,新北区三井明月房产信息咨询服务部,常居地产年薪百万营销策划项目经理（六薪）
深圳,03-08,4500元/小时,深圳市祥光达光电科技有限公司,电子普工
上海-浦东新区,03-08,7000元/天,上海司羿智能科技有限公司,硬件工程师
重庆-江北区,03-08,10万以上/月,德纳（重庆）传动技术有限公司,人事经理
东莞-南城区,03-08,7-10万/月,福建省世新工程营造有限公司广东分...,审计专员/主管
重庆-江北区,03-08,5-7万/月,重庆励步教育,励步重庆--课程顾问
广州,03-08,30-60万/月,广州楼盘网网络科技有限公司,网商事业部经理
北京-朝阳区,03-08,8000元/天,北京凯特领先文化传媒有限公司,对外汉语老师
无锡-梁溪区,03-08,10000元/天,无锡市贝尔教育培训中心,英语老师  周末班
武汉-江汉区,03-08,5-7万/月,武汉纬文兄弟国际贸易有限公司,财务主管(生产型出口企业或外贸公司）
大连-沙河口区,03-08,300元/小时,大连德善装饰工程有限公司,室内设计师实习生
上海-浦东新区,03-08,3000.3-4000.4万...,上海臻经汽车服务有限公司,财务出纳
西安,03-08,5000元/天,西安玖合企业文化传播有限公司,办公文员
北京-海淀区,03-08,10万以上/月,上海孚恩电子科技有限公司,北京孚恩销售总监
上海-虹口区,03-07,10万以上/月,海棠基金--事业三部,人事助理（应届生优先）
长沙-岳麓区,03-07,10万以上/月,湖南广湘商务信息科技有限公司,运营总监
上海-黄浦区,03-07,5-7万/月,苹果授权培训中心（上海环球友好培...,苹果认证讲师
南京,03-07,5.5-7万/月,南京盛美服装有限公司,单证员
上海-虹口区,03-07,5-7万/月,上海青禾物流有限公司,市场推广专员
南京,03-08,10-20万/月,艾欧史密斯（中国）热水器有限公司,培训经理/主管-壁挂炉SBU
南京-栖霞区,03-08,8-12万/月,南京钟鼎生物技术有限公司,销售工程师(业务经理)
上海-闵行区,03-08,3000元/天,上海厚一文化传播有限公司,蒙特梭利教室助教
杭州-西湖区,03-08,10000元/天,杭州为能教育咨询有限公司,半天九百元聘初中周六英语教师
天津,03-08,8-10万/月,天津九海沣文化传播有限公司,天津会计员证老师
上海-浦东新区,03-08,5-7万/月,上海科壹精密模具设备有限公司,磨床操作工
上海-徐汇区,03-08,500元/小时,上海晓筑教育科技有限公司,电气专业（供配电）授课老师（***）
深圳-宝安区,03-08,3500元/天,和记黄埔地产管理有限公司深圳分公司,出纳
杭州,03-07,25-40万/月,浙江哈尔斯真空器皿股份有限公司,法务总监
广州,03-07,60-80万/年,中国平安人寿保险股份有限公司广州...,世界50强平安集团高薪诚聘销售人才 轻松年薪百万
上海-杨浦区,03-07,15-25万/月,上海天跃科技股份有限公司,网络信息安全工程师
沧州,03-07,10万以上/月,河北建业电器科技有限公司,产品推销员
深圳-福田区,03-07,100万以上/年,奈雪的茶,副总经理
武汉-武昌区,03-07,50-80万/月,武汉智创工场互联网科技发展有限公司,美容导师顾问
上海-普陀区,03-08,7-10万/月,饿了么,策略运营经理
廊坊,03-08,7-10万/月,河北天健龙维汽车部件有限公司,塑胶模具钳工
长沙-岳麓区,03-08,10-20万/月,湖南华诚生物资源股份有限公司,销售经理
武汉-东西湖区,03-08,5-7万/月,武汉煜明众诚模塑有限公司,注塑技术员
西安-碑林区,03-08,7-10万/月,陕西正大自动化工程有限公司,生产厂长
武汉-武昌区,03-08,60-80万/年,美好置业集团股份有限公司,投资拓展总监（一级开发）
济南,03-08,6-10万/月,山东冠一餐饮技术研发有限公司,销售经理/店长助理
广州-天河区,03-08,15-18万/月,广东因赛品牌营销集团股份有限公司,创意总监
广州-天河区,03-08,5-7万/月,雅居乐-环保集团,财务部副总经理
异地招聘,03-08,80-100万/年,上海格楚企业管理咨询有限公司,销售总监-风电
河源,03-08,20-25万/月,华南城实业（河源）有限公司,水电工程师
郑州,03-08,5-7万/月,河南安艺铭环保科技有限公司,施工员
青岛-市南区,03-08,5-7万/月,青岛和川国际物流有限公司,海运销售
深圳,03-08,100万以上/年,梦网荣信科技集团股份有限公司,总裁助理（品牌与战略方向）
济南,03-08,5-7万/月,济南市迪诺外语培训学校,招生专员
天津,03-08,20-40万/月,天津信宇恒诺投资管理有限公司,大团队经理
深圳,03-08,10万以上/月,深圳市五谷芳乳鸽王饮食策划管理有...,运营经理
苏州-高新区,03-07,7-10万/月,苏州市伏泰信息科技股份有限公司,技术解决方案工程师
北京-朝阳区,03-07,40-60万/月,日通（大连）科技有限公司,高级技术顾问
郑州,03-07,5-7万/月,郑州橙之旗电子商务有限公司,高提成高底薪会务策划培训经理
南京-浦口区,03-07,5-7万/月,上海灵猴互联网金融信息服务有限公司,供应链金融系统技术总监
苏州,03-07,8-15万/月,肖特玻璃科技（苏州）有限公司,Sales Engineer
鄂尔多斯,03-08,10万以上/月,空气化工产品（中国）投资有限公司,Operator，Hangjinqi生产操作员（杭锦旗）
北京-丰台区,03-08,5-7万/月,上电科（北京）系统工程技术有限公司,会计
苏州-工业园区,03-08,300元/小时,苏州京华天下文化发展有限公司,对外汉语教师  汉语教师
异地招聘,03-08,5-7万/月,如东丰利惠慈医院,中医针灸推拿
成都-青羊区,03-08,5-7万/月,成都立航科技有限公司,激光跟踪仪检测技术员
上海-黄浦区,03-08,10万以上/月,上海恰尔思游艇有限公司,营销中心总经理
西安,03-08,15-20万/月,西安北方捷瑞光电科技有限公司,五险一金+双休+算法工程师
珠海,03-08,5-9万/月,华郡房产,总经理助理（分管工程）
重庆,03-08,10万以上/月,重庆山外山血液净化技术股份有限公司,市场营销总监
南宁,03-08,5-25万/月,圣凯诺服饰有限公司广西办事处,职业装团购销售
宁波,03-08,10-20万/月,宁波耐天房地产经纪有限公司,二手房销售
广州-海珠区,03-08,7-10万/月,广州金道盈富企业管理有限公司,运营总监
上海-徐汇区,03-08,5000元/天,上海博韬教育科技发展有限公司,金融类双语老师 Lecturer in Finance
东莞,03-07,3600元/小时,思库电子（东莞）有限公司,PE技术员
武汉-洪山区,03-07,10000元/天,武汉中科智杰软件工程有限公司,PACS开发工程师
北京,03-07,60-80万/年,北京环球国广媒体科技有限公司,渠道总监J10304
福州-鼓楼区,03-07,5-7万/月,谦祥集团,区域总经理（福建）
北京-通州区,03-07,5-6万/月,北京潞州通用航空有限公司,销售代表  急招包食宿
广州-越秀区,03-08,100万以上/年,广东人为峰健康管理有限公司,市场营销总监（糖尿病食品药品）
广州-花都区,03-08,10-20万/月,好莱奴电子商务有限公司,诚聘电商运营副总监
成都,03-08,5-7万/月,成都豪润投资咨询有限公司,团队经理
南京-江宁区,03-08,10-18万/月,舍弗勒（南京）有限公司,磨削工艺工程师Grinding Process Engineer (南京）
北京-昌平区,03-08,10-20万/月,北京智行者科技有限公司,QA工程师
成都,03-08,300元/小时,成都美凯通教育咨询有限公司,初中英语老师
南昌-青山湖区,03-08,4500元/天,南昌明高科技有限公司,SMT操作员品检员
南京-建邺区,03-08,800-1600万/月,上海利真汽车服务咨询有限公司南京...,00019-南京市4S店销售顾问
唐山,03-08,7-10万/月,交通银行股份有限公司太平洋信用卡...,C交通银行诚聘客户经理（五险一金）
异地招聘,03-08,60-80万/年,浙江祥生宜悦企业管理有限公司,区域总监（祥生地产）
苏州-工业园区,03-08,7-10万/月,德工照明（苏州市）有限公司,生产技术员
异地招聘,03-08,80-100万/年,山东万冠建设工程有限公司,海外融资总监
佛山-顺德区,03-08,50-70万/月,广东艾诗凯奇智能科技有限公司,集团财务总监
异地招聘,03-08,100万以上/年,上海一谦液压设备有限公司,***渠道销售总监/大客户经理/经销商
杭州-江干区,03-08,7-10万/月,浙江君时时装有限公司,营运总监（零售总监）
嘉兴,03-07,5-7万/月,浙江亿力清洁设备有限公司,数控车工
上海,03-07,5-7万/月,上海亚豪资产管理股份有限公司,区域总监（亚豪私享）
海口,03-07,10万以上/月,海南卓质恒环保建材有限公司,工程部经理
上海-浦东新区,03-07,6-10万/月,万特电子（上海）有限公司,应收会计 AR(Account Receivable)
长春,03-08,40-60万/月,吉林省千派家居制造有限公司,总经理
南京,03-08,100万以上/年,北京中方信富投资管理咨询有限公司...,营销总监（无责任底薪+提成+年薪100万起）
镇江,03-08,100万以上/年,江苏乐能电池股份有限公司,市场部经理
广州-天河区,03-08,10万以上/月,广州市启帆星电子产品有限公司,高级研发工程师
异地招聘,03-08,5-7万/月,青海可可西里酒业销售有限公司,招聘酒业销售业务代表
上海-浦东新区,03-08,100万以上/年,上海帝德投资管理有限公司,资金渠道总监（机构方向）
深圳-福田区,03-08,24-30万/月,深圳市唐商投资集团有限公司,法务经理
上海-黄浦区,03-08,330元/小时,广州飞克出入境服务有限公司上海分...,澳大利亚移民PTE培训老师
异地招聘,03-08,10-30万/月,南京欧格节能环保科技有限公司,销售经理（住南非国家）
杭州-萧山区,03-08,7-10万/月,浙江正凯集团有限公司,国际业务总监
合肥-巢湖市,03-08,7-10万/月,安徽富煌木业有限公司,渠道销售经理
重庆-渝北区,03-08,5-7万/月,重庆渝颖辉企业管理咨询有限公司,销售代表
异地招聘,03-08,7-14万/月,纳里健康科技有限公司,项目经理（医疗）
济南,03-07,100万以上/年,万达商业地产济南城市公司,副总经理（开发）
异地招聘,03-07,10万以上/月,国际SOS,心理咨询师（上海）-00004
南京,03-07,400元/小时,南京百创教育培训中心,***老师-注册会计师
昆明,03-07,8-12万/月,云南温泉山谷康养度假运营开发（集...,专职安全管理员
异地招聘,03-07,5-7万/月,昆山美淼环保科技有限公司,人力资源经理
济南,03-07,9-12万/月,斯普瑞喷雾系统（上海）有限公司,Sales Engineer（销售工程师）
上海-浦东新区,03-07,10-20万/月,上海洁名医疗投资管理有限公司,市场总监
上海,03-08,7-10万/月,白墙（上海）信息科技有限公司,视频制片人
深圳-福田区,03-08,100万以上/年,江海证券有限公司深圳分公司,战略客户拓展及服务总监（大中型央企、主权基金等）
珠海,03-08,12-25万/月,珠海麒润网络科技有限公司,数值策划（三消类游戏）
南京,03-08,6-10万/月,南京美格利合医疗美容有限公司,整形外科医生
宁波,03-08,60-80万/年,宁波音王电声股份有限公司,营销总监
深圳-龙岗区,03-08,6-30万/月,深圳市宗兴环保科技有限公司,储运工艺设计工程师
泉州,03-08,20-36万/月,达利食品集团有限公司,糕点研发经理
苏州-工业园区,03-08,7-10万/月,上海未石影视文化有限公司,文案策划
异地招聘,03-08,8-20万/月,杭州物点网络科技有限公司,售前工程师
深圳-宝安区,03-08,10万以上/月,深圳市印之明科技有限公司,高级硬件工程师
西安-雁塔区,03-08,20-40万/月,宁波爱租网络科技有限公司西安分公司,区域经理
深圳-南山区,03-08,10万以上/月,牛法法律咨询服务（深圳）有限公司,法律顾问
异地招聘,03-08,60-80万/年,惠州富茂房地产开发有限公司（富力...,项目总经理
上海-奉贤区,03-08,5-7万/月,上海康驰机电设备有限公司,外贸业务员
中山,03-08,150-400万/月,中山市伟莎卫浴有限公司,电商运营总监
深圳-福田区,03-08,20-40万/月,航天科工深圳（集团）有限公司,智能制造技术经理/工程师
贵阳,03-07,10-20万/月,北京看看车科技有限公司——华中,城市经理
上海-闵行区,03-07,15-25万/月,上海勾芒信息科技有限公司,Java高级开发工程师
北京-朝阳区,03-07,5-7万/月,北京每日优鲜电子商务有限公司,用户运营VP
温州,03-08,5-7万/月,温州巅峰网络科技有限公司,业务经理
上海-徐汇区,03-08,7-10万/月,上海恒寿堂健康科技有限公司,猫超渠道运营主管
深圳-南山区,03-08,50-100万/月,深圳市蓝韵实业有限公司,营销运营总监-健康产品
昆明,03-08,60-80万/年,云南上为投资有限公司,地产项目总经理（职业经理人）
武汉,03-08,60-80万/年,恒天财富中南大区,省区经理
武汉,03-08,300-500万/年,恒天财富武汉第四分公司,私人银行理财经理
成都-武侯区,03-08,7-10万/月,四川齐远生态农业有限公司,品牌鸡蛋市场拓展人员（无责任底薪3000+高额提成）
温州,03-08,15-25万/月,温州富力房地产开发有限公司,精装修工程师
异地招聘,03-08,60-80万/年,昆山琨华投资发展有限公司,房地产销售副总经理
深圳,03-08,3500元/天,深圳市慧明眼镜有限公司,客服文员
无锡,03-08,10万以上/月,智富金融信息服务（上海）有限公司,客户经理
重庆,03-08,7-10万/月,重庆迪璐贸易有限公司,运营总监
佛山-禅城区,03-08,15-30万/月,广州科伺智能科技有限公司,技术主管（技术）+高待遇+发展空间大+购五险
上海-虹口区,03-08,500元/小时,上海财经大学继续教育学院,CPA讲师
杭州,03-08,80-100万/年,杭州西奥电梯有限公司,区域销售总监
佛山,03-08,30-100万/月,广东辰宜信息科技有限公司,销售总监
沧州,03-08,15-30万/月,保定轩宇汽车集团有限公司,高端豪华品牌4S店服务经理
韶关,03-08,7-10万/月,广东经律论酒店管理有限公司,餐饮经理
昆明,03-08,8000元/天,昆明卜算子商贸有限公司,汽车销售顾问
