,duty,sallary,name,time,location
7836,视觉工程师,1-2万/月,深圳和而泰智能控制股份有限公司,2月8日,深圳-光明新区
7837,AI高性能计算工程师,3-4万/月,上海高重信息科技有限公司,2月8日,上海-静安区
7838,高级算法研究员,4-6万/月,深圳和而泰智能控制股份有限公司,2月8日,深圳
7839,C++软件开发工程师,1-1.5万/月,艾瑞迈迪医疗科技（北京）有限公司,2月8日,北京-海淀区
7840,图像算法助理研究员,0.7-1.5万/月,珠海市四维时代网络科技有限公司,2月8日,珠海-香洲区
7841,数据挖掘工程师（数据运用方向）,30-40万/年,花样年集团（中国）有限公司,2月8日,深圳-福田区
7842,数据挖掘工程师,30-40万/年,花样年集团（中国）有限公司,2月8日,深圳-福田区
7843,大数据经理,50-60万/年,花样年集团（中国）有限公司,2月8日,深圳-福田区
7844,深度学习工程师,1.5-2万/月,深圳英飞拓科技股份有限公司,2月8日,深圳-龙华新区
7845,资深深度学习专家,1.5-2.5万/月,深圳英飞拓科技股份有限公司,2月8日,深圳-龙华新区
7846,机器视觉算法开发工程师,1-1.2万/月,南京汇川工业视觉技术开发有限公司,2月8日,南京
7847,软件工程师,0.9-2万/月,广州市顶丰自动化设备有限公司,2月8日,广州-黄埔区
7848,视觉工程师,1.5-2万/月,昆山市烽禾升精密机械有限公司,2月8日,昆山
7849,高级算法设计架构师,1.5-2.4万/月,成都芯通科技股份有限公司,2月8日,成都-高新区
7850,IRA-深度学习工程师,1-1.5万/月,广州财略金融信息科技有限公司,2月8日,广州-海珠区
7851,IRA-自然语言处理工程师(NLP),1-1.5万/月,广州财略金融信息科技有限公司,2月8日,广州-海珠区
7852,人工智能产品经理,1-2万/月,杭州同花顺数据开发有限公司,2月8日,杭州-余杭区
7853,算法建模工程师（信息化技术中心）,1-1.5万/月,聚光科技(杭州)股份有限公司,2月8日,杭州-滨江区
7854,物理层软件工程师-西安分公司,0.8-1万/月,大唐移动通信设备有限公司西安分公司,2月8日,西安
7855,算法软件工程师,0.7-1.2万/月,深圳市杉川机器人有限公司,2月8日,深圳-南山区
7856,嵌入式软件工程师,6-8千/月,沈阳无距科技有限公司,2月8日,沈阳
7857,软件/算法研发（二室）,0.8-1万/月,中国科学院声学研究所东海研究站,2月8日,上海-嘉定区
7858,图像算法FPGA实现工程师,1.5-2万/月,西安诺瓦电子科技有限公司,2月8日,北京-海淀区
7859,深度学习算法开发工程师,1.5-2万/月,深圳市锐明技术股份有限公司,2月8日,异地招聘
7860,深度学习算法开发工程师,2-2.5万/月,深圳市锐明技术股份有限公司,2月8日,重庆
7861,深度学习算法开发工程师,20-30万/年,深圳市锐明技术股份有限公司,2月8日,深圳
7862,Matlab通信算法仿真（科技园）,0.7-1.4万/月,天津光电集团有限公司,2月8日,天津-河西区
7863,软件算法设计、应用开发（光电科技园）,0.6-1.5万/月,天津光电集团有限公司,2月8日,天津-河西区
7864,文本数据工程师-18届应届生,3-4.5千/月,科沃斯商用机器人有限公司,2月8日,苏州-吴中区
7865,文本数据处理工程师,4-4.5千/月,科沃斯商用机器人有限公司,2月8日,苏州-吴中区
7866,AR/VR 图形相关算法研发工程师,15-20万/年,南京沃创人力资源服务有限公司,2月8日,南京-雨花台区
7867,算法设计-3,0.8-1.2万/月,成都主导科技有限责任公司,2月8日,成都
7868,3D图像算法设计,0.8-1.5万/月,成都主导科技有限责任公司,2月8日,成都-青羊区
7869,嵌入式软件开发工程师,6-8千/月,山东优宝特智能机器人有限公司,2月8日,异地招聘
7870,助理软件工程师,4-6千/月,黑金刚（福建）自动化科技股份公司,2月8日,泉州
7871,数据接入高级开发工程师,1.5-3.5万/月,金蝶软件（中国）有限公司,2月8日,深圳
7872,OCR开发工程师,2-3万/月,金蝶软件（中国）有限公司,2月8日,深圳-南山区
7873,博士后（人工智能图像方向）,2-2.5万/月,金蝶软件（中国）有限公司,2月8日,深圳-南山区
7874,算法（大数据）工程师,1.5-3万/月,金蝶软件（中国）有限公司,2月8日,深圳-南山区
7875,计算机视觉专家,2-4万/月,上海弘目智能科技有限公司,2月7日,上海-徐汇区
7876,深度学习图像算法实习生,150元/天,上海弘目智能科技有限公司,2月7日,上海-徐汇区
7877,AI算法软件工程师,1-1.5万/月,科希（杭州）微电子技术开发有限公司,2月7日,杭州-江干区
7878,ROS机器人操作系统开发工程师,1-1.5万/月,科希（杭州）微电子技术开发有限公司,2月7日,杭州-江干区
7879,高级AI人工智能工程师,3-5万/月,大连凯沃企业管理咨询有限公司,2月7日,上海-黄浦区
7880,Data Scientist,1.5-2万/月,大连凯沃企业管理咨询有限公司,2月7日,上海-黄浦区
7881,Java高级软件开发工程师,0.8-1.1万/月,上海维祥信息技术有限公司,2月7日,上海-徐汇区
7882,嵌入式软件工程师,1.5-2万/月,上海微盟企业发展有限公司,2月7日,上海-浦东新区
7883,数据挖掘工程师,20-40万/年,广东三维家信息科技有限公司,2月7日,广州
7884,数据挖掘工程师,0.8-1.8万/月,四川享宇金信金融服务外包有限公司,2月7日,成都-高新区
7885,技术研究-自然语言处理,1.2-1.8万/月,深圳市思迪信息技术股份有限公司,2月7日,深圳-南山区
7886,数据建模研发工程师,0.9-1.5万/月,深圳市思迪信息技术股份有限公司,2月7日,深圳-南山区
7887,深度学习工程师,1-2万/月,浩云科技股份有限公司,2月7日,广州-番禺区
7888,软件工程师（算法）,1.5-2万/月,广州市卡秀汽车用品有限公司,2月7日,广州
7889,DSP工程师,0.8-1.5万/月,上海凯萌电子科技有限公司,2月7日,上海-杨浦区
7890,数据科学家,2-3万/月,武汉低温宝信息有限公司,2月7日,深圳-南山区
7891,雷达研发工程师,1.5-2.5万/月,纵目科技（上海）股份有限公司,2月7日,上海-浦东新区
7892,算法优化工程师,2-2.5万/月,纵目科技（上海）股份有限公司,2月7日,上海-浦东新区
7893,人工智能算法优化工程师,30-40万/年,纵目科技（上海）股份有限公司,2月7日,北京-海淀区
7894,平台软件工程师,1.5-2万/月,纵目科技（上海）股份有限公司,2月7日,上海-浦东新区
7895,博士,30-60万/年,广东京信软件科技有限公司,2月7日,中山
7896,图像处理工程师,0.8-1万/月,南京威翔科技有限公司,2月7日,南京
7897,人脸识别研发工程师（实习）,4.5-6千/月,北京华捷艾米科技有限公司,2月7日,北京-海淀区
7898,人脸特征点检测研发工程师,200元/天,北京华捷艾米科技有限公司,2月7日,北京-海淀区
7899,算法优化工程师,2-2.5万/月,北京华捷艾米科技有限公司,2月7日,北京-海淀区
7900,人脸识别研发工程师,2-4万/月,北京华捷艾米科技有限公司,2月7日,北京-海淀区
7901,控制系统软件工程师,10-15万/年,杭州士兰微电子股份有限公司,2月7日,杭州-西湖区
7902,自然语言处理工程师,1-1.5万/月,普强信息技术（北京）有限公司,2月7日,北京-海淀区
7903,引擎与平台开发工程师,1.5-2.5万/月,普强信息技术（北京）有限公司,2月7日,北京-海淀区
7904,嵌入式开发工程师-2018届毕业生,3-4.5千/月,青岛浩海网络科技股份有限公司,2月7日,青岛-城阳区
7905,图像视觉算法开发高级工程师（天津，杭州）,1.5-2.1万/月,易思维（天津）科技有限公司,2月7日,天津-西青区
7906,图像视觉算法开发高级工程师（杭州研发中心,18-30万/年,易思维（天津）科技有限公司,2月7日,杭州-滨江区
7907,图像视觉算法开发工程师（天津，杭州）,1.2-1.7万/月,易思维（天津）科技有限公司,2月7日,天津-西青区
7908,图像视觉算法开发工程师（杭州研发中心）,15-20万/年,易思维（天津）科技有限公司,2月7日,杭州-滨江区
7909,点云算法高级工程师(天津，杭州）,1.5-2.1万/月,易思维（天津）科技有限公司,2月7日,天津-西青区
7910,点云算法高级工程师（杭州研发中心）,18-30万/年,易思维（天津）科技有限公司,2月7日,杭州-滨江区
7911,视频算法实习生,3-5千/月,杭州中奥科技有限公司,2月7日,杭州-西湖区
7912,视觉导航与图像处理工程师,10-15万/年,凹凸电子（武汉）有限公司,2月7日,武汉
7913,北京大学-奇诺动力联合博士后,2.5-3万/月,深圳市奇诺动力科技有限公司,2月7日,异地招聘
7914,数据分析主管（幸福钱庄）,1.5-2.5万/月,善林（上海）金融信息服务有限公司,2月7日,上海-浦东新区
7915,Hadoop开发工程师(幸福钱庄),1.5-2.2万/月,善林（上海）金融信息服务有限公司,2月7日,上海
