,name,sallary,duty,time,location
7805,深圳市腾讯计算机系统有限公司,,WXG06-微信支付商户数据挖掘工程师（深圳）,2月7日,深圳
7806,深圳市腾讯计算机系统有限公司,,22989-大数据和人工智能高级开发工程师 (深圳),2月7日,深圳
7807,深圳市腾讯计算机系统有限公司,,MIG06-自然语言处理研究员（深圳）,2月7日,深圳
7808,深圳市腾讯计算机系统有限公司,,MIG07-数据安全研究（深圳）,2月7日,深圳
7809,深圳市腾讯计算机系统有限公司,,19116-互联网+行业高级产品策划经理（AI方向）(深圳),2月7日,深圳
7810,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告算法研究员-图像视觉方向（深圳）,2月7日,深圳
7811,深圳市腾讯计算机系统有限公司,,TEG13-OCR算法工程师（北京）,2月7日,北京
7812,深圳市腾讯计算机系统有限公司,,TEG13-大数据平台算法开发工程师（深圳）,2月7日,深圳
7813,深圳市腾讯计算机系统有限公司,,MIG16-位置大数据挖掘高级工程师(北京),2月7日,北京
7814,深圳市腾讯计算机系统有限公司,,22989-腾讯云运营开发工程师（深圳）,2月7日,深圳
7815,深圳市腾讯计算机系统有限公司,,MIG18-核心算法工程师（深圳）,2月7日,深圳
7816,深圳市腾讯计算机系统有限公司,,15851-游戏前台开发工程师(客户端)（深圳）,2月7日,深圳
7817,深圳市腾讯计算机系统有限公司,,15851-游戏AI开发工程师（深圳）,2月7日,深圳
7818,深圳市腾讯计算机系统有限公司,,TEG01-自然语言处理工程师（深圳）,2月7日,深圳
7819,深圳市腾讯计算机系统有限公司,,22989-智慧零售行业数据分析工程师（深圳/成都/北京）,2月7日,深圳
7820,深圳市腾讯计算机系统有限公司,,OMG097-数据挖掘工程师(北京）,2月7日,北京
7821,深圳市腾讯计算机系统有限公司,,SNG02-腾讯云应用业务开发工程师（深圳）,2月7日,深圳
7822,深圳市腾讯计算机系统有限公司,,TEG05-高级流量分析工程师（深圳）,2月7日,深圳
7823,深圳市腾讯计算机系统有限公司,,MIG16-自动驾驶深度学习(北京),2月7日,北京
7824,深圳市腾讯计算机系统有限公司,,MIG16-自动驾驶机器人SLAM算法工程师(北京),2月7日,北京
7825,深圳市腾讯计算机系统有限公司,,MIG16-自动驾驶机器人-导航算法(北京),2月7日,北京
7826,深圳市腾讯计算机系统有限公司,,MIG16-地图数据高级后台工程师（北京）,2月7日,北京
7827,深圳市腾讯计算机系统有限公司,,HY1-用户画像大数据分析工程师（深圳）,2月7日,深圳
7828,深圳市腾讯计算机系统有限公司,,HY1-自然语言处理算法工程师（深圳）,2月7日,深圳
7829,深圳市腾讯计算机系统有限公司,,19116-腾讯觅影算法策略高级产品经理（深圳）,2月7日,深圳
7830,深圳市腾讯计算机系统有限公司,,MIG16-自动驾驶数据平台大数据高级系统架构师(北京),2月7日,北京
7831,深圳市腾讯计算机系统有限公司,,MIG16-大数据平台开发工程师(北京),2月7日,北京
7832,深圳市腾讯计算机系统有限公司,,MIG16-地图定位算法研究员（北京）,2月7日,北京
7833,深圳市腾讯计算机系统有限公司,,TEG11-运营开发工程师（深圳）,2月7日,深圳
7834,深圳市腾讯计算机系统有限公司,,TEG05-高级数据挖掘工程师（深圳）,2月7日,深圳
7835,深圳市腾讯计算机系统有限公司,,TEG13-python后台开发工程师（深圳）,2月7日,深圳
7836,深圳市腾讯计算机系统有限公司,,TEG17-AI LAB语音识别研发工程师(深圳）,2月7日,北京
7837,深圳市腾讯计算机系统有限公司,,MIG18-开放平台广告算法工程师（深圳）,2月7日,深圳
7838,深圳市腾讯计算机系统有限公司,,WXG07-113微信广研后台开发工程师（广州）,2月7日,广州
7839,深圳市腾讯计算机系统有限公司,,WXG08-121 微信广告算法工程师(广州),2月7日,广州
7840,深圳市腾讯计算机系统有限公司,,19116-互联网+智能客服产品经理（深圳）,2月7日,深圳
7841,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告策略产品经理微信方向（深圳）,2月7日,深圳
7842,深圳市腾讯计算机系统有限公司,,WXG06-114 微信支付应用开发工程师（广州）,2月7日,广州
7843,深圳市腾讯计算机系统有限公司,,MIG06-搜索算法工程师（深圳）,2月7日,深圳
7844,深圳市腾讯计算机系统有限公司,,SNG16-数据分析工程师（深圳）,2月7日,深圳
7845,深圳市腾讯计算机系统有限公司,,22989-云服务开发工程师（语音方向）（深圳/成都/上海/北京）,2月7日,深圳
7846,深圳市腾讯计算机系统有限公司,,22989-云服务开发工程师（图像/视频方向）（深圳/成都/上海/北京）,2月7日,深圳
7847,深圳市腾讯计算机系统有限公司,,22989-人工智能产品经理（深圳/成都/上海/北京）,2月7日,深圳
7848,深圳市腾讯计算机系统有限公司,,24547-高级广告算法工程师（上海）,2月7日,上海
7849,深圳市腾讯计算机系统有限公司,,TEG11-语音平台开发工程师（深圳）,2月7日,深圳
7850,深圳市腾讯计算机系统有限公司,,TEG11-语音平台开发工程师（北京）,2月7日,北京
7851,深圳市腾讯计算机系统有限公司,,TEG11-数据挖掘工程师（深圳）,2月7日,深圳
7852,深圳市腾讯计算机系统有限公司,,MIG03-安全测试专家（后台服务/客户端）,2月7日,深圳
7853,深圳市腾讯计算机系统有限公司,,22090-天天快报-推荐策略产品经理（北京）,2月7日,北京
7854,深圳市腾讯计算机系统有限公司,,TEG03-高级图像算法研发工程师（深圳）,2月7日,深圳
7855,深圳市腾讯计算机系统有限公司,,20503-并行计算高级工程师（上海）,2月7日,上海
7856,深圳市腾讯计算机系统有限公司,,MIG09-语音合成算法研究员,2月7日,深圳
7857,深圳市腾讯计算机系统有限公司,,HY1-移动游戏高级测试开发工程师（上海）,2月7日,上海
7858,深圳市腾讯计算机系统有限公司,,WXG08-121 微信商业数据分析工程师（广州）,2月7日,广州
7859,深圳市腾讯计算机系统有限公司,,MIG08-数据挖掘工程师（广州）,2月7日,广州
7860,深圳市腾讯计算机系统有限公司,,TEG11-机器翻译语料挖掘工程师（北京）,2月7日,北京
7861,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告算法工程师（上海）,2月7日,上海
7862,深圳市腾讯计算机系统有限公司,,TEG11-自然语言处理研发工程师(深圳),2月7日,深圳
7863,深圳市腾讯计算机系统有限公司,,TEG03-数据挖掘工程师（深圳）,2月7日,深圳
7864,深圳市腾讯计算机系统有限公司,,TEG13-安全产品经理（深圳）,2月7日,深圳
7865,深圳市腾讯计算机系统有限公司,,22989-云服务移动客户端研发工程师（iOS Android）（深圳 成都 上海 北京）,2月7日,深圳
7866,深圳市腾讯计算机系统有限公司,,22989-腾讯云PHP开发工程师（云IAAS资源&运营平台） （深圳）,2月7日,深圳
7867,深圳市腾讯计算机系统有限公司,,SNG02-腾讯云AI应用开发工程师(深圳),2月7日,深圳
7868,深圳市腾讯计算机系统有限公司,,25664-大数据分析挖掘工程师-数字广东运营组（广州）,2月7日,广州
7869,深圳市腾讯计算机系统有限公司,,WXG08-121 微信模式识别自然语言处理算法工程师（北京）,2月7日,北京
7870,深圳市腾讯计算机系统有限公司,,TEG13-大数据挖掘工程师（深圳）,2月7日,深圳
7871,深圳市腾讯计算机系统有限公司,,HY2-数据可视化前端开发工程师（深圳）,2月7日,深圳
7872,深圳市腾讯计算机系统有限公司,,MIG07-安全大数据后台开发工程师（深圳）,2月7日,深圳
7873,深圳市腾讯计算机系统有限公司,,22989-腾讯云AI高级产品经理（深圳）,2月7日,深圳
7874,深圳市腾讯计算机系统有限公司,,HY2-游戏AI高级算法工程师（深圳）,2月7日,深圳
7875,拍拍信数据服务（上海）有限公司,1.8-2.7万/月,高级算法工程师,2月6日,上海-浦东新区
7876,深圳市腾讯计算机系统有限公司,,SNG11-云安全产品后台研发工程师（深圳）,2月7日,深圳
7877,深圳市腾讯计算机系统有限公司,,SNG01-QQ后台高级数据分析工程师（深圳）,2月7日,深圳
7878,深圳市腾讯计算机系统有限公司,,20503-人脸分析研发工程师（上海）,2月7日,上海
7879,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告算法工程师（OM方向 深圳）,2月7日,深圳
7880,深圳市腾讯计算机系统有限公司,,15851-棋牌游戏数据分析工程师（深圳）,2月7日,深圳
7881,深圳市腾讯计算机系统有限公司,,20503-深度学习视频算法研究员（上海）,2月7日,上海
7882,深圳市腾讯计算机系统有限公司,,SNG04-QQ看点内容平台高级开发工程师（上海）,2月7日,上海
7883,深圳市腾讯计算机系统有限公司,,SNG04-QQ看点推荐后台开发工程师（深圳）,2月7日,深圳
7884,深圳市腾讯计算机系统有限公司,,25926-用户画像大数据分析工程师（深圳）,2月7日,深圳
7885,深圳市腾讯计算机系统有限公司,,WXG08-122 微信自然语言处理工程师 (北京),2月7日,北京
7886,深圳市腾讯计算机系统有限公司,,SNG02-腾讯云大数据研发高级工程（深圳）,2月7日,深圳
7887,深圳市腾讯计算机系统有限公司,,18425-金融人工智能高级研究员,2月7日,深圳
7888,深圳市腾讯计算机系统有限公司,,WXG08-121 模式识别自然语言处理（高级）算法工程师（北京）,2月7日,北京
7889,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告数据挖掘工程师（北京）,2月7日,北京
7890,深圳市腾讯计算机系统有限公司,,HY1-自然语言处理高级工程师（深圳）,2月7日,深圳
7891,深圳市腾讯计算机系统有限公司,,SA-腾讯社交广告反作弊工程师（微信广告方向）,2月7日,深圳
7892,深圳市腾讯计算机系统有限公司,,MIG16-数据策略高级工程师（北京）,2月7日,北京
7893,深圳市腾讯计算机系统有限公司,,MIG13-金融安全策略,2月7日,深圳
7894,深圳市腾讯计算机系统有限公司,,TEG11-自然语言处理工程师（深圳）,2月7日,深圳
