,time,location,duty,sallary,name
148,02-09,深圳-龙华新区,链家置业管培生/底薪5000/无经验实习/提供转正,1-1.5万/月,深圳链家房地产经纪有限公司
149,02-09,上海-静安区,客户服务代表 Client Service Agent(宝尊合同),6-8千/月,古驰（中国）贸易有限公司
150,02-09,广州-越秀区,仓库文员,2-3千/月,广州市宝芝林大药房连锁有限公司
151,02-09,北京,市场经理,1-1.5万/月,北京亿达四方信息技术有限公司
152,02-09,义乌,销售代表,4.5-6千/月,义乌市偶涵商贸有限公司
153,02-09,深圳-福田区,土建工程师,1.5-2万/月,深圳兆邦基集团有限公司
154,02-09,常州,人事经理,4-6.5千/月,常州市张展物资有限公司
155,02-09,宁波,FA工程师,3-4.5千/月,台晶（宁波）电子有限公司
156,02-09,异地招聘,人力资源经理,0.8-1万/月,大连新悦置业有限公司
157,02-09,杭州-余杭区,婴童事业部湖北省区/区域经理,1-1.5万/月,杭州淑洁卫生用品有限公司
158,02-09,淮南,弱电副经理,6-8千/月,淮南万达广场
159,02-09,长沙-岳麓区,环境治理项目经理,6-8千/月,长沙中联重科环境产业有限公司
160,02-09,上海-静安区,照明设计师/工程设计/CAD,0.6-1万/月,上海艾特照明设计有限公司
161,02-09,楚雄,行政人事经理,4-5万/年,云南纳玉环保科技有限公司
162,02-09,南京-鼓楼区,课程咨询顾问,4-8千/月,南京邦树教育科技有限公司
163,02-09,杭州,D毕业不迷茫，链家起薪4000+梦想,0.8-1万/月,浙江链家房地产经纪有限公司
164,02-09,咸阳,销售会计,3-4千/月,咸阳经纬置业有限公司
165,02-09,天津-西青区,会计,3-4.5千/月,天津田边制药有限公司
166,02-09,异地招聘,综合管理部经理,20-30万/年,成都德商达置业有限公司
167,02-09,赣州,客户经理（绿色金融/投行方向）,,九江银行股份有限公司
168,02-09,苏州,人事专员,3.5-5千/月,永旺永乐（江苏）物业服务有限公司
169,02-09,上海-徐汇区,产品设计助理,4.5-6千/月,上海琢苍家居有限公司
170,02-09,金华,小学语文老师,3-4.5千/月,义乌市仁美校外教育培训中心有限公司
171,02-09,广州-越秀区,产品总监,2-3万/月,广州远程教育中心有限公司
172,02-09,深圳-南山区,法务总监,3-4万/月,深圳市中洲投资控股股份有限公司
173,02-09,上海,日企招聘专员（负责校招）陆家嘴金融中心,4.5-6千/月,上海恒封密封制品有限公司
174,02-09,成都-武侯区,DQ见习经理(成都金楠天街店),3-4.5千/月,上海适达餐饮管理有限公司
175,02-09,成都-锦江区,装饰工程师,1-1.5万/月,成都新希望置业有限公司
176,02-09,杭州-上城区,行政助理,3-4.5千/月,浙江南方建筑设计有限公司
177,02-09,异地招聘,大数据后台运维（宁晋县）,0.8-1万/月,北京晶澳太阳能光伏科技有限公司
178,02-09,上海,采购行政助理,4.5-6.5千/月,上海昆杰五金工具有限公司
179,02-09,深圳-南山区,销售经理,4-8千/月,深圳市优博讯科技股份有限公司
180,02-09,东莞-沙田镇,收银员（沙田）,3-4.5千/月,东莞市同鸿汽车贸易有限公司
181,02-09,郑州-金水区,财务经理兼外账会计,4.5-6千/月,河南宏轩电子科技有限公司
182,02-09,湛江,渠道经理,1-1.5万/月,上海融道网金融信息服务有限公司
183,02-09,昆明-五华区,高级金融信贷经理（月薪轻松过万，收入无上限）,0.8-4万/月,上海友而信市场信息咨询有限公司昆...
184,02-09,异地招聘,人事专员（宿迁厂）,3-4.5千/月,聚灿光电科技股份有限公司
185,02-09,东莞-石碣镇,Logistics Program Manager,2-3万/月,东莞莫仕连接器有限公司
186,02-09,天津-和平区,暖通领班,4.5-6千/月,天津澳中发展有限公司津汇广场第二...
187,02-09,重庆-铜梁区,工艺工程师,6-8千/月,上海汇众汽车制造有限公司
188,02-09,渭南,（渭南）行政专员,2-4千/月,西安四维教育科技有限公司
189,02-09,大连-大连保税区,销售员,3-4.5千/月,大连浩和食品有限公司
190,02-09,北京-昌平区,售前/售后技术支持工程师,3-4.5千/月,北京达博创新科技开发有限公司
191,02-09,北京-朝阳区,会计,0.8-1.5万/月,汇力（北京）投资基金管理有限公司
192,02-09,北京-海淀区,运维工程师,0.8-1万/月,北京北科德源生物医药科技有限公司
193,02-09,上海-静安区,KA经理,0.8-1万/月,杭州姚太太食品有限公司
194,02-09,武汉-武昌区,商务司机/领导司机,4.5-6千/月,湖北百老汇电器有限公司
195,02-09,宁波,企划总监,15-20万/年,宁波杰迈商业管理有限公司
196,02-09,上海-嘉定区,市场部实习生,3-4.5千/月,舍弗勒（中国）有限公司
197,02-09,中山,营销,6-8千/月,舜宇光学（中山）有限公司
198,02-09,成都-高新区,四川分公司总经理,1-1.5万/月,上海云辰信息科技有限公司
199,02-09,上海-浦东新区,Inside Sales（内部销售）,,卡尔蔡司（上海）管理有限公司
200,02-09,西安,质量主管,3-5千/月,陕西中健生物技术有限公司
201,02-09,上海-徐汇区,Dreampark婚礼设计师,0.8-1.3万/月,上海雯帕文化传播有限公司
202,02-09,异地招聘,项目经理-水利,0.5-1万/月,北京超图软件股份有限公司
203,02-09,东莞-长安镇,五金模具设计工程师,5-7千/月,大讯电子科技（东莞）有限公司
204,02-09,异地招聘,销售代表,4-8千/月,湖南大三湘茶油股份有限公司
205,02-09,随州,外贸销售代表,0.2-1万/月,随州市华威机电进出口有限公司
206,02-09,深圳-福田区,HRBP总监J10709,1.5-3万/月,深圳依时货拉拉科技有限公司
207,02-09,广州-天河区,外贸经理,6-8千/月,广州宇洪科技股份有限公司
208,02-09,异地招聘,FAE工程师,1-1.5万/月,阿波罗展贸科技（深圳）有限公司
209,02-09,深圳,资深电气工程师,20-30万/年,深圳中集天达空港设备有限公司
210,02-09,上海-杨浦区,招聘专员,4.5-6千/月,国药控股国大药房上海连锁有限公司
211,02-09,昆明,行政助理,2.5-3千/月,云南仁厚文化发展有限公司
212,02-09,广州,工艺工程师（测试方向）,10-15万/年,法雷奥耐路志（广州）电机有限公司
213,02-09,上海-嘉定区,审计专员,4.5-6千/月,上海茂金物流有限公司
214,02-09,北京-朝阳区,客服医生,30-40万/年,山水文园投资集团有限责任公司
215,02-09,深圳-龙岗区,行政人事文员,4.5-6千/月,深圳市永圣咨询管理有限公司
216,02-09,东莞,党务专员（集团总部）J10944,4-6千/月,岭南园林股份有限公司
217,02-09,沈阳-和平区,商务文员,2-3千/月,沈阳纳复源电子有限公司
218,02-09,苏州,消防中控值机员,4.5-6千/月,苏州市金阊职业培训学校
219,02-09,西安-雁塔区,人事专员,3-4.5千/月,西安樊登品牌文化发展有限公司
220,02-09,南京-建邺区,招聘专员,4.5-6千/月,中盛新能源（南京）有限公司
221,02-09,常州,文员,3-4.5千/月,常州顶丰纸制品有限公司
222,02-09,上海,SHA-Assistant Accountant(总账),5-6万/年,德莎胶带（上海）有限公司
223,02-09,南昌-青山湖区,商标注册专员,2-3千/月,南昌好管家财务咨询有限公司
224,02-09,异地招聘,生产基地经理,0.8-1万/月,北京金房暖通节能技术股份有限公司
225,02-09,厦门,人事主管（薪酬绩效）,5-8千/月,厦门三维丝环保股份有限公司
226,02-09,昆明,行政人事助理,2-3千/月,云南林泽景观工程有限公司
227,02-09,重庆-渝北区,BD专员,3-4千/月,重庆畅优科技有限公司
228,02-09,绥化,产科主任,1.5-2万/月,黑龙江明水康盈医院有限公司
229,02-09,异地招聘,产品经理,0.6-1.2万/月,广东奇方药业有限公司
230,02-09,苏州,淘宝天猫运营推广,4.5-6千/月,苏州工品一号网络科技有限公司
231,02-09,深圳-南山区,配置质量工程师,0.6-1.2万/月,深圳市道通科技股份有限公司
232,02-09,武汉,技术报告审核员,3.2-3.5千/月,SGS通标标准技术服务有限公司武汉...
233,02-09,丹阳,高薪诚聘眼镜加工师,4.5-6千/月,普旭电子商务有限公司
234,02-09,玉林,总经办秘书,2.5-4千/月,陆川中浩房地产开发有限公司
235,02-09,玉林,ATM维护工程师（广西玉林）,5-6万/年,南京紫津融畅信息科技服务有限公司
236,02-09,深圳-坪山区,高级测试工程师,1-1.5万/月,比亚迪汽车工业有限公司
237,02-09,深圳,安全员,5-8千/月,深圳市立润投资有限公司
238,02-09,异地招聘,物流专员,3-4.5千/月,美菜网
239,02-09,郑州-中原区,急聘教育咨询师五险一金,6-8千/月,北京京翰英才教育科技有限公司郑州...
240,02-09,常州-新北区,外贸跟单,3-4.5千/月,常州君斯特车辆部件有限公司
241,02-09,成都-锦江区,半糖网吧夜间检查员,350元/天,成都市锦江区半糖华兴网吧
242,02-09,天津-南开区,software developer（Java),1-1.5万/月,Rudolph Technologies China
243,02-09,苏州,品牌经理,0.8-1万/月,苏州纳故信息科技有限公司
244,02-09,沈阳-沈河区,办公选址顾问,0.5-2.5万/月,沈阳易冠房产经纪有限公司
245,02-09,杭州-滨江区,销售培训师,5-7千/月,浙江迪茉互联网科技有限公司
246,02-09,珠海,金融专员,4.5-6千/月,珠海市珠光汽车有限公司
247,02-09,南宁,文案编辑,2-3千/月,南宁市春树文化传播有限公司
248,02-09,合肥,外企医务室护士（合肥）,4.5-5千/月,上海爱康健维健康管理咨询有限公司
249,02-09,长沙,英语专业应届生,4.5-6千/月,蓝思科技股份有限公司
250,02-09,深圳,市场推广经理,0.7-1万/月,深圳市雷诺表业有限公司
251,02-09,异地招聘,技术经理（大数据方向）,8-20万/年,福建省星云大数据应用服务有限公司
252,02-09,重庆,区域经理,0.8-1.5万/月,重庆市瑾凤服饰有限公司
253,02-09,常州,货车司机,4.5-6千/月,常州市众鑫装饰工程有限公司
254,02-09,昆山,会计,4.5-8千/月,苏州东净环保成套设备有限公司
255,02-09,上海,项目主管（市场推广方向）,6-8千/月,上海市国际展览有限公司
256,02-09,天津,市场专员,3-4.5千/月,天津市明源拓展科技发展有限公司
257,02-09,北京-朝阳区,渠道招商经理,1.5-2万/月,北京联云天下科技有限公司
258,02-09,广州-番禺区,外贸员（高薪+员工旅游+公司食堂）,3-5千/月,广州悦田集装箱配件有限公司
259,02-09,广州-黄埔区,质检员/QC,3.5-5.5千/月,广州安的电子科技有限公司
260,02-09,深圳,项目助理,4-6千/月,深圳市捷旅会展服务有限公司
261,02-09,无锡,中文教师/中文部主任（无锡南外国王国际学校）,2-2.5万/月,狄邦教育管理集团
262,02-09,厦门,整车NVH研究,4-8千/月,厦门金龙旅行车有限公司
263,02-09,上海,薪酬专员 - ap,4-6千/月,高顿财经
264,02-09,上海-普陀区,渠道销售经理,6-8千/月,格拉夫节能制品（南京）有限公司
265,02-09,宜昌,宜昌国企快修快保店值班长,4.5-6千/月,上海车享家汽车科技服务有限公司
