,sallary,location,duty,name,time
14291,10万以上/月,吉林,招商经理,贵州正鑫实业有限公司,2月7日
14292,10万以上/月,白城,招商经理,贵州正鑫实业有限公司,2月7日
14293,10万以上/月,四平,招商经理,贵州正鑫实业有限公司,2月7日
14294,10万以上/月,长春,招商经理,贵州正鑫实业有限公司,2月7日
14295,10万以上/月,铁岭,业务经理,贵州正鑫实业有限公司,2月7日
14296,10万以上/月,营口,业务经理,贵州正鑫实业有限公司,2月7日
14297,10万以上/月,南昌,区域销售经理,贵州正鑫实业有限公司,2月7日
14298,10万以上/月,衡阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14299,10万以上/月,郴州,区域销售经理,贵州正鑫实业有限公司,2月7日
14300,10万以上/月,永州,区域销售经理,贵州正鑫实业有限公司,2月7日
14301,10万以上/月,娄底,区域销售经理,贵州正鑫实业有限公司,2月7日
14302,10万以上/月,湘潭,区域销售经理,贵州正鑫实业有限公司,2月7日
14303,10万以上/月,益阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14304,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
14305,80-100万/年,深圳-福田区,资产管理顾问助理,深圳市金丰博盈投资发展有限公司,2月6日
14306,100万以上/年,深圳-福田区,环球投资理财顾问,深圳市金丰博盈投资发展有限公司,2月6日
14307,60-80万/年,北京,合伙人（销售总监）,北京北斗星座科技发展有限责任公司,2月6日
14308,10-30万/月,深圳-福田区,培训讲师,深圳市世外桃源生态旅游有限公司,2月6日
14309,10万以上/月,葫芦岛,业务经理,贵州正鑫实业有限公司,2月7日
14310,10万以上/月,盘锦,业务经理,贵州正鑫实业有限公司,2月7日
14311,10万以上/月,丹东,业务经理,贵州正鑫实业有限公司,2月7日
14312,10万以上/月,沈阳,招商经理,贵州正鑫实业有限公司,2月7日
14313,80-100万/年,常州,总经理（融资租赁）,江苏易天投资集团有限公司,2月7日
14314,80-100万/年,深圳-福田区,财务/融资中心副总裁,深圳誉德地产实业发展有限公司,2月7日
14315,5-7万/月,镇江,镇江项目总经理,杭州新天地集团有限公司,2月7日
14316,5-7万/月,杭州-下城区,酒店总经理,杭州新天地集团有限公司,2月7日
